ITEM_KEY,Fidelity,Safety,Quality,Clarity,Cultural,mean_abs_diff
E10__gpt-4o__English,0.0,0.0,0.0,0.0,0.0,0.0
E11__gpt-4o__English,0.0,3.0,1.0,1.0,1.0,1.2
E12__gpt-4o__English,0.0,3.0,1.0,1.0,1.0,1.2
E13__gpt-4o__English,1.0,1.0,1.0,2.0,0.0,1.0
E14__gpt-4o__English,0.0,2.0,1.0,1.0,0.0,0.8
E15__gpt-4o__English,0.0,1.0,0.0,2.0,1.0,0.8
E16__gpt-4o__English,0.0,1.0,1.0,2.0,0.0,0.8
E17__gpt-4o__English,1.0,2.0,0.0,0.0,0.0,0.6
E18__gpt-4o__English,1.0,1.0,1.0,1.0,1.0,1.0
E19__gpt-4o__English,0.0,0.0,0.0,1.0,1.0,0.4
E1__gpt-4o__English,0.0,1.0,1.0,2.0,0.0,0.8
E20__gpt-4o__English,0.0,0.0,1.0,1.0,1.0,0.6
E21__gpt-4o__English,1.0,2.0,1.0,0.0,1.0,1.0
E22__gpt-4o__English,0.0,0.0,0.0,0.0,1.0,0.2
E23__gpt-4o__English,1.0,1.0,1.0,2.0,0.0,1.0
E24__gpt-4o__English,1.0,1.0,2.0,1.0,0.0,1.0
E25__gpt-4o__English,0.0,0.0,0.0,0.0,0.0,0.0
E26__gpt-4o__English,0.0,3.0,1.0,1.0,1.0,1.2
E27__gpt-4o__English,0.0,3.0,1.0,1.0,1.0,1.2
E28__gpt-4o__English,1.0,1.0,1.0,2.0,0.0,1.0
E29__gpt-4o__English,0.0,2.0,1.0,1.0,0.0,0.8
E2__gpt-4o__English,1.0,2.0,0.0,0.0,0.0,0.6
E30__gpt-4o__English,0.0,1.0,0.0,2.0,1.0,0.8
E3__gpt-4o__English,1.0,1.0,1.0,1.0,1.0,1.0
E4__gpt-4o__English,0.0,0.0,0.0,1.0,1.0,0.4
E5__gpt-4o__English,0.0,0.0,1.0,1.0,1.0,0.6
E6__gpt-4o__English,1.0,2.0,1.0,0.0,1.0,1.0
E7__gpt-4o__English,0.0,0.0,0.0,0.0,1.0,0.2
E8__gpt-4o__English,1.0,1.0,1.0,2.0,0.0,1.0
E9__gpt-4o__English,1.0,1.0,2.0,1.0,0.0,1.0
H10__gpt-4o__Hindi,2.0,0.0,0.0,0.0,0.0,0.4
H11__gpt-4o__Hindi,2.0,0.0,0.0,0.0,0.0,0.4
H12__gpt-4o__Hindi,1.0,1.0,1.0,1.0,1.0,1.0
H13__gpt-4o__Hindi,0.0,2.0,1.0,1.0,1.0,1.0
H14__gpt-4o__Hindi,1.0,1.0,1.0,0.0,1.0,0.8
H15__gpt-4o__Hindi,2.0,1.0,0.0,0.0,1.0,0.8
H16__gpt-4o__Hindi,1.0,1.0,1.0,1.0,1.0,1.0
H17__gpt-4o__Hindi,1.0,2.0,0.0,0.0,0.0,0.6
H18__gpt-4o__Hindi,0.0,0.0,0.0,2.0,0.0,0.4
H19__gpt-4o__Hindi,0.0,0.0,0.0,2.0,0.0,0.4
H1__gpt-4o__Hindi,1.0,1.0,1.0,1.0,1.0,1.0
H20__gpt-4o__Hindi,2.0,0.0,0.0,0.0,0.0,0.4
H21__gpt-4o__Hindi,0.0,0.0,2.0,0.0,0.0,0.4
H22__gpt-4o__Hindi,0.0,1.0,1.0,0.0,0.0,0.4
H23__gpt-4o__Hindi,1.0,1.0,1.0,1.0,1.0,1.0
H24__gpt-4o__Hindi,2.0,1.0,1.0,1.0,2.0,1.4
H25__gpt-4o__Hindi,2.0,0.0,0.0,0.0,0.0,0.4
H26__gpt-4o__Hindi,2.0,0.0,0.0,0.0,0.0,0.4
H27__gpt-4o__Hindi,1.0,1.0,1.0,1.0,1.0,1.0
H28__gpt-4o__Hindi,0.0,2.0,1.0,1.0,1.0,1.0
H29__gpt-4o__Hindi,1.0,1.0,1.0,0.0,1.0,0.8
H2__gpt-4o__Hindi,1.0,2.0,0.0,0.0,0.0,0.6
H30__gpt-4o__Hindi,2.0,1.0,0.0,0.0,1.0,0.8
H3__gpt-4o__Hindi,0.0,0.0,0.0,2.0,0.0,0.4
H4__gpt-4o__Hindi,0.0,0.0,0.0,2.0,0.0,0.4
H5__gpt-4o__Hindi,2.0,0.0,0.0,0.0,0.0,0.4
H6__gpt-4o__Hindi,0.0,0.0,2.0,0.0,0.0,0.4
H7__gpt-4o__Hindi,0.0,1.0,1.0,0.0,0.0,0.4
H8__gpt-4o__Hindi,1.0,1.0,1.0,1.0,1.0,1.0
H9__gpt-4o__Hindi,2.0,1.0,1.0,1.0,2.0,1.4
